tweet_text,location_name,latitude,longitude,polarity,max_word
Consulta Popular está manejando esto mejor de lo que esperaba,Cusco,-13.55968,-71.94385,positive,avance
Otra vez Grupo Andina sin dar la cara ante la situación,Lima,-12.08703,-77.06953,negative,reclamo
Indignante la respuesta de Grupo Andina frente al reclamo,Iquitos,-3.77166,-73.24267,negative,indignante
Grupo Andina aparece mencionado en el informe de este mes,Piura,-5.22895,-80.58708,neutral,informe
"Buena decisión de Grupo Andina, era momento de actuar así",Chiclayo,-6.73665,-79.83053,positive,correcta
Otra vez Consulta Popular sin dar la cara ante la situación,Iquitos,-3.78582,-73.27228,negative,reclamo
Otra vez Ministro Rossi sin dar la cara ante la situación,Lima,-12.03027,-77.01549,negative,indignante
Aún no hay postura clara de Grupo Andina sobre el tema,Piura,-5.19916,-80.59939,neutral,comunicado
"Ministro Rossi sigue sin resolver lo prometido, cansado de esperar",Arequipa,-16.39809,-71.57039,negative,pésimo
"Grupo Andina sigue sin resolver lo prometido, cansado de esperar",Cusco,-13.51354,-71.93321,negative,indignante
Grupo Andina aparece mencionado en el informe de este mes,Iquitos,-3.76693,-73.2805,neutral,pendiente
Pésimo manejo de Consulta Popular en las últimas semanas,Iquitos,-3.70523,-73.23731,negative,pésimo
"Buenas noticias sobre Ministro Rossi hoy, esperemos que continúe",Piura,-5.1698,-80.63996,positive,avance
No confío nada en lo que dice Ministro Rossi sobre esto,Huancayo,-12.10601,-75.25019,negative,indignante
Pésimo manejo de Grupo Andina en las últimas semanas,Arequipa,-16.42052,-71.52791,negative,cansado
"Buenas noticias sobre Consulta Popular hoy, esperemos que continúe",Lima,-12.02837,-77.08134,positive,avance
Ministro Rossi aparece mencionado en el informe de este mes,Arequipa,-16.42965,-71.57168,neutral,reunión
Consulta Popular aparece mencionado en el informe de este mes,Trujillo,-8.11083,-79.06836,neutral,informe
No confío nada en lo que dice Consulta Popular sobre esto,Trujillo,-8.12421,-79.06285,negative,reclamo
Pésimo manejo de Grupo Andina en las últimas semanas,Lima,-12.08521,-77.0565,negative,desconfianza
"Buenas noticias sobre Grupo Andina hoy, esperemos que continúe",Arequipa,-16.45043,-71.5389,positive,correcta
Se espera un comunicado oficial de Consulta Popular mañana,Huancayo,-12.02042,-75.23839,neutral,pendiente
No confío nada en lo que dice Consulta Popular sobre esto,Cusco,-13.51071,-71.9776,negative,desconfianza
Aún no hay postura clara de Ministro Rossi sobre el tema,Arequipa,-16.43421,-71.5811,neutral,reunión
Indignante la respuesta de Consulta Popular frente al reclamo,Cusco,-13.58128,-71.94672,negative,indignante
"Buena decisión de Grupo Andina, era momento de actuar así",Chiclayo,-6.81431,-79.8671,positive,claridad
Indignante la respuesta de Grupo Andina frente al reclamo,Huancayo,-12.0908,-75.2076,negative,cansado
Me parece correcta la postura de Grupo Andina en este caso,Chiclayo,-6.77904,-79.8442,positive,correcta
Otra vez Consulta Popular sin dar la cara ante la situación,Lima,-12.05614,-77.05887,negative,indignante
"Buenas noticias sobre Grupo Andina hoy, esperemos que continúe",Huancayo,-12.10108,-75.23655,positive,claridad
Grupo Andina tiene programada una reunión para la próxima semana,Huancayo,-12.0343,-75.1693,neutral,reunión
Indignante la respuesta de Grupo Andina frente al reclamo,Lima,-11.9995,-77.00016,negative,pésimo
Pésimo manejo de Grupo Andina en las últimas semanas,Cusco,-13.49553,-71.92726,negative,pésimo
Me parece correcta la postura de Ministro Rossi en este caso,Piura,-5.15185,-80.60429,positive,esperanza
Ministro Rossi fue tema de conversación en el debate de hoy,Huancayo,-12.09962,-75.22523,neutral,reunión
Consulta Popular tiene programada una reunión para la próxima semana,Chiclayo,-6.81568,-79.83248,neutral,pendiente
"Buenas noticias sobre Consulta Popular hoy, esperemos que continúe",Arequipa,-16.37387,-71.58065,positive,correcta
Aún no hay postura clara de Consulta Popular sobre el tema,Arequipa,-16.36484,-71.53053,neutral,pendiente
"Buena decisión de Consulta Popular, era momento de actuar así",Iquitos,-3.72796,-73.24508,positive,esperanza
Ministro Rossi está manejando esto mejor de lo que esperaba,Cusco,-13.55544,-72.00441,positive,esperanza
Otra vez Ministro Rossi sin dar la cara ante la situación,Lima,-12.05057,-76.99295,negative,indignante
Indignante la respuesta de Grupo Andina frente al reclamo,Piura,-5.23125,-80.6479,negative,indignante
No confío nada en lo que dice Grupo Andina sobre esto,Huancayo,-12.03173,-75.18455,negative,reclamo
Indignante la respuesta de Consulta Popular frente al reclamo,Piura,-5.15132,-80.67244,negative,pésimo
"Buena decisión de Ministro Rossi, era momento de actuar así",Trujillo,-8.13437,-79.01852,positive,esperanza
Grupo Andina aparece mencionado en el informe de este mes,Huancayo,-12.08999,-75.16408,neutral,reunión
"Grupo Andina sigue sin resolver lo prometido, cansado de esperar",Lima,-12.09605,-77.01569,negative,desconfianza
Grupo Andina fue tema de conversación en el debate de hoy,Iquitos,-3.73761,-73.29041,neutral,comunicado
Consulta Popular está manejando esto mejor de lo que esperaba,Trujillo,-8.11862,-79.07482,positive,esperanza
Se espera un comunicado oficial de Grupo Andina mañana,Cusco,-13.51531,-71.98213,neutral,pendiente
Se espera un comunicado oficial de Ministro Rossi mañana,Cusco,-13.49554,-71.91988,neutral,comunicado
Ministro Rossi está manejando esto mejor de lo que esperaba,Iquitos,-3.71348,-73.21519,positive,buena
"Buena decisión de Ministro Rossi, era momento de actuar así",Iquitos,-3.70648,-73.21574,positive,buena
Aún no hay postura clara de Grupo Andina sobre el tema,Chiclayo,-6.79088,-79.81137,neutral,comunicado
Al fin algo de claridad con el tema de Grupo Andina,Iquitos,-3.76087,-73.21516,positive,esperanza
Pésimo manejo de Ministro Rossi en las últimas semanas,Chiclayo,-6.72748,-79.87937,negative,desconfianza
"Grupo Andina sigue sin resolver lo prometido, cansado de esperar",Lima,-12.08556,-77.04934,negative,desconfianza
Indignante la respuesta de Ministro Rossi frente al reclamo,Arequipa,-16.42048,-71.52984,negative,desconfianza
Grupo Andina tiene programada una reunión para la próxima semana,Cusco,-13.54558,-72.0105,neutral,informe
Otra vez Consulta Popular sin dar la cara ante la situación,Piura,-5.19379,-80.61611,negative,desconfianza
Ministro Rossi fue tema de conversación en el debate de hoy,Trujillo,-8.14242,-79.01251,neutral,debate
Se espera un comunicado oficial de Consulta Popular mañana,Piura,-5.20389,-80.59943,neutral,informe
"Buenas noticias sobre Ministro Rossi hoy, esperemos que continúe",Chiclayo,-6.7749,-79.84668,positive,buena
No confío nada en lo que dice Consulta Popular sobre esto,Arequipa,-16.43062,-71.52111,negative,reclamo
Al fin algo de claridad con el tema de Ministro Rossi,Piura,-5.22204,-80.66289,positive,correcta
Me parece correcta la postura de Grupo Andina en este caso,Arequipa,-16.41346,-71.49889,positive,avance
Aún no hay postura clara de Grupo Andina sobre el tema,Huancayo,-12.07513,-75.24014,neutral,reunión
Se espera un comunicado oficial de Grupo Andina mañana,Trujillo,-8.08119,-79.00941,neutral,debate
Otra vez Grupo Andina sin dar la cara ante la situación,Huancayo,-12.10177,-75.20844,negative,reclamo
Pésimo manejo de Consulta Popular en las últimas semanas,Iquitos,-3.71064,-73.24681,negative,pésimo
Aún no hay postura clara de Consulta Popular sobre el tema,Piura,-5.16932,-80.59881,neutral,informe
No confío nada en lo que dice Consulta Popular sobre esto,Piura,-5.20051,-80.61145,negative,pésimo
Indignante la respuesta de Ministro Rossi frente al reclamo,Arequipa,-16.44516,-71.56437,negative,pésimo
Me parece correcta la postura de Consulta Popular en este caso,Iquitos,-3.76061,-73.25501,positive,correcta
Aún no hay postura clara de Grupo Andina sobre el tema,Lima,-12.01073,-77.01624,neutral,debate
Ministro Rossi está manejando esto mejor de lo que esperaba,Piura,-5.16915,-80.59746,positive,claridad
Consulta Popular fue tema de conversación en el debate de hoy,Cusco,-13.53318,-71.99021,neutral,debate
Pésimo manejo de Grupo Andina en las últimas semanas,Trujillo,-8.07755,-78.98705,negative,reclamo
Me parece correcta la postura de Consulta Popular en este caso,Lima,-12.08801,-77.04994,positive,claridad
Me parece correcta la postura de Grupo Andina en este caso,Chiclayo,-6.80023,-79.85822,positive,claridad
Aún no hay postura clara de Ministro Rossi sobre el tema,Piura,-5.16101,-80.63577,neutral,pendiente
