Age,Hours,streams,SWL_T,SPIN_T,Narcissism,Work,Degree,Playstyle,whyplay,earnings,outcome
53,18.1,7.0,30.0,31.0,1.8,Estudiante,Preparatoria,Multijugador presencial,Diversion,Juego por diversion,2
48,0.0,0.0,18.0,12.0,4.6,Desempleado,Preparatoria,Un jugador,Mejorar habilidad,Juego por diversion,2
43,35.1,0.0,19.0,24.0,4.8,Estudiante,Preparatoria,Multijugador en linea,Mejorar habilidad,Juego por diversion,3
49,24.1,0.0,15.0,23.0,4.4,Estudiante,Licenciatura,Con amigos en linea,Relajarme,Juego por diversion,3
23,25.7,6.2,22.0,28.0,3.6,Estudiante,Licenciatura,Multijugador presencial,Competir,Juego por diversion,3
22,31.9,1.7,24.0,15.0,2.6,Estudiante,Licenciatura,Multijugador presencial,Relajarme,Juego por diversion,4
46,11.5,3.3,27.0,45.0,3.1,Estudiante,Preparatoria,Multijugador presencial,Socializar,Juego por diversion,1
23,3.8,0.0,18.0,31.0,4.9,Empleado,Preparatoria,Un jugador,Socializar,Juego por diversion,2
38,41.4,0.0,19.0,23.0,5.2,Empleado,Preparatoria,Con amigos en linea,Relajarme,Juego por diversion,3
34,11.1,2.3,14.0,21.0,3.7,Empleado,Preparatoria,Con amigos en linea,Competir,Juego por diversion,3
27,0.0,11.9,14.0,8.0,2.8,Estudiante,Licenciatura,Multijugador en linea,Mejorar habilidad,Juego por diversion,2
44,0.0,0.9,22.0,17.0,2.7,Estudiante,Licenciatura,Multijugador en linea,Diversion,Juego por diversion,3
34,44.5,0.0,13.0,25.0,3.7,Empleado,Licenciatura,Con amigos en linea,Relajarme,Juego por diversion,3
42,20.4,5.6,21.0,3.0,3.0,Estudiante,Licenciatura,Multijugador presencial,Diversion,Juego por diversion,1
18,23.2,4.3,23.0,17.0,3.4,Estudiante,Licenciatura,Multijugador presencial,Competir,Juego por diversion,2
52,21.6,0.0,19.0,13.0,1.9,Estudiante,Preparatoria,Un jugador,Relajarme,Juego por diversion,2
46,24.8,4.0,27.0,17.0,3.5,Estudiante,Preparatoria,Un jugador,Socializar,Juego por diversion,1
16,43.1,0.7,21.0,10.0,5.3,Estudiante,Maestria,Multijugador en linea,Relajarme,Juego por diversion,1
42,13.7,3.9,20.0,18.0,0.5,Estudiante,Preparatoria,Un jugador,Competir,Juego por diversion,1
34,31.8,2.7,20.0,15.0,2.7,Empleado,Preparatoria,Un jugador,Relajarme,Juego por diversion,2
28,21.4,7.3,14.0,0.0,3.9,Empleado,Licenciatura,Un jugador,Mejorar habilidad,Juego por diversion,3
27,13.3,3.2,24.0,15.0,2.7,Empleado,Doctorado,Un jugador,Relajarme,Gano un poco,2
30,9.4,0.6,19.0,38.0,1.9,Estudiante,Preparatoria,Con amigos en linea,Competir,Juego por diversion,2
38,18.2,4.7,19.0,4.0,0.8,Empleado,Preparatoria,Con amigos en linea,Relajarme,Juego por diversion,3
14,12.0,0.0,20.0,10.0,0.7,Estudiante,Preparatoria,Con amigos en linea,Relajarme,Juego por diversion,2
15,31.5,0.0,21.0,19.0,4.1,Estudiante,Licenciatura,Multijugador en linea,Mejorar habilidad,Juego por diversion,3
31,40.9,3.6,24.0,14.0,2.8,Empleado,Doctorado,Multijugador en linea,Socializar,Juego por diversion,2
27,25.9,0.0,13.0,19.0,2.7,Empleado,Preparatoria,Un jugador,Diversion,Juego por diversion,2
42,13.2,4.8,24.0,0.0,1.6,Empleado,Licenciatura,Con amigos en linea,Mejorar habilidad,Juego por diversion,2
17,3.5,3.9,12.0,24.0,1.9,Desempleado,Licenciatura,Con amigos en linea,Relajarme,Juego por diversion,3
34,7.7,3.1,21.0,0.0,3.3,Empleado,Maestria,Multijugador presencial,Competir,Juego por diversion,2
53,30.7,6.1,22.0,18.0,3.6,Estudiante,Licenciatura,Multijugador en linea,Competir,Juego por diversion,2
54,28.6,5.5,20.0,5.0,3.3,Estudiante,Preparatoria,Multijugador en linea,Competir,Gano un poco,2
38,35.6,4.4,29.0,9.0,3.5,Estudiante,Doctorado,Con amigos en linea,Socializar,Juego por diversion,2
