Fecha,Cliente,Elemento,Arbitro,PesoSeco,PesoTotal,An_Vendedor,An_Comprador,An_Arbitro,Diferencia_Vendedor_Comprador,Diferencia_Arbitro_Vendedor
2024-02-05,Cliente H,CU,Arbitro Pacifico,342422.96,84937.18,19.709,21.937,20.163,-2.228,0.454
2022-04-16,Cliente F,AG,Arbitro Meridiano,429400.41,4782.07,8.802,8.719,8.997,0.083,0.195
2022-12-28,Cliente H,CU,Arbitro Andes,83404.21,44742.36,20.909,21.117,22.698,-0.208,1.789
2022-08-04,Cliente D,AG,Arbitro Meridiano,642004.0,32410.7,32.496,31.074,30.696,1.422,-1.8
2022-08-25,Cliente G,AG,Arbitro Meridiano,80408.23,67719.81,7.031,7.219,7.545,-0.188,0.514
2022-10-29,Cliente D,AS,Arbitro Meridiano,178882.15,85746.39,0.413,0.438,0.418,-0.025,0.005
2022-09-05,Cliente B,CU,Arbitro Pacifico,220688.06,66404.71,30.279,30.982,30.661,-0.703,0.382
2022-12-17,Cliente C,CU,Arbitro Pacifico,133730.59,56179.83,31.966,33.54,34.378,-1.574,2.412
2022-08-20,Cliente A,CU,Arbitro Meridiano,64530.4,77949.88,29.277,28.012,28.245,1.265,-1.032
2024-02-14,Cliente B,CU,Arbitro Austral,114326.73,21208.22,24.252,23.053,22.674,1.199,-1.578
2023-10-01,Cliente A,AG,Arbitro Andes,101416.88,32903.06,13.557,12.698,13.872,0.859,0.315
2024-03-31,Cliente B,AS,Arbitro Cordillera,545391.34,49431.38,0.383,0.418,0.406,-0.035,0.023
2023-05-11,Cliente C,CU,Arbitro Austral,439233.32,41956.09,24.531,24.745,23.461,-0.214,-1.07
2022-10-10,Cliente E,AS,Arbitro Cordillera,269856.33,82326.21,0.455,0.567,0.551,-0.112,0.096
2023-04-15,Cliente A,AS,Arbitro Pacifico,186822.12,65027.77,0.182,0.186,0.181,-0.004,-0.001
2023-10-25,Cliente B,CU,Arbitro Andes,77522.12,51191.67,22.874,21.943,22.183,0.931,-0.691
2022-02-17,Cliente F,AU,Arbitro Austral,599301.8,33957.22,0.224,0.228,0.221,-0.004,-0.003
2022-03-12,Cliente D,AU,Arbitro Austral,81771.12,75354.41,0.734,0.795,0.836,-0.061,0.102
2023-08-30,Cliente A,AS,Arbitro Austral,152474.09,29020.85,0.427,0.449,0.446,-0.022,0.019
2022-02-28,Cliente B,CU,Arbitro Andes,66639.6,39771.42,30.222,29.445,30.624,0.777,0.402
2022-05-07,Cliente A,AU,Arbitro Cordillera,566835.61,33621.53,1.886,1.892,1.754,-0.006,-0.132
2023-04-24,Cliente C,CU,Arbitro Austral,629424.93,16282.24,33.369,31.091,30.841,2.278,-2.528
2024-06-04,Cliente F,CU,Arbitro Meridiano,347714.41,48606.25,32.238,35.321,34.207,-3.083,1.969
2023-06-13,Cliente E,CU,Arbitro Austral,230396.64,54609.78,21.18,23.281,22.4,-2.101,1.22
2024-04-13,Cliente H,CU,Arbitro Cordillera,438998.27,45976.03,24.305,23.145,23.721,1.16,-0.584
2024-01-02,Cliente B,CU,Arbitro Austral,112100.41,85656.79,34.327,33.58,33.558,0.747,-0.769
2024-05-28,Cliente C,AS,Arbitro Cordillera,66770.75,53950.62,0.537,0.539,0.493,-0.002,-0.044
