usuario_id,perfil_origen_sintetico,repositorio_codigo,documentacion_tecnica,entorno_ide_cloud,simulador_circuitos,plataforma_cursos_online,wiki_colaborativa,foro_preguntas_programacion,monitoreo_infraestructura,simulador_redes,gestion_tickets_ti,suite_ofimatica_cloud,editor_disenio_3d,software_matematico,plataforma_lms,control_versiones_movil,panel_analitica
u_synth_014,perfil_redes,8,2,3,2,10,8,0,16,21,14,8,6,4,6,2,5
u_synth_090,perfil_mixto,18,1,5,27,0,6,13,7,7,1,3,1,3,9,13,21
u_synth_019,perfil_redes,8,2,5,5,2,15,6,12,20,29,3,6,4,22,1,13
u_synth_021,perfil_desarrollo,10,12,15,1,7,7,8,0,0,1,8,0,2,0,4,0
u_synth_013,perfil_redes,2,17,20,0,0,5,1,16,33,8,5,3,0,2,5,12
u_synth_023,perfil_desarrollo,13,6,3,0,0,8,36,5,2,0,5,9,9,8,7,9
u_synth_012,perfil_redes,0,0,20,0,7,8,1,9,39,27,24,12,4,3,9,5
u_synth_071,perfil_mixto,7,8,9,6,18,6,9,0,0,6,2,8,3,5,9,6
u_synth_038,perfil_mixto,4,4,7,0,5,2,3,2,5,4,13,3,13,1,1,2
u_synth_031,perfil_mixto,3,7,12,6,4,4,9,3,8,2,8,2,0,12,1,1
u_synth_016,perfil_redes,0,0,1,1,4,5,19,10,10,3,18,3,6,17,0,7
u_synth_059,perfil_mixto,0,2,1,2,5,19,0,2,4,0,6,3,4,1,1,3
u_synth_042,perfil_mixto,1,4,6,3,5,4,3,0,0,0,2,4,4,11,6,2
u_synth_067,perfil_mixto,4,2,2,5,3,3,0,6,10,0,7,2,4,4,2,1
u_synth_044,perfil_mixto,2,2,8,9,14,2,7,10,3,5,10,1,13,29,4,3
u_synth_088,perfil_mixto,5,1,6,3,12,17,12,22,1,4,0,4,2,11,0,2
u_synth_003,perfil_redes,9,4,5,8,1,6,0,13,6,11,3,2,0,11,2,3
u_synth_018,perfil_redes,5,0,1,0,1,4,6,9,8,2,0,0,0,0,0,1
