Fecha,Producción (tn),Striping Ratio,Humedad(%),Costo (US$/TN)
2022-01-01,1162.0,0.67,5,5.86
2022-01-02,839.0,0.78,5,4.33
2022-01-03,797.0,0.37,6,4.25
2022-01-04,797.0,0.51,6,4.33
2022-01-05,1908.0,1.43,5,8.87
2022-01-06,1324.0,0.49,4,6.23
2022-01-07,700.0,0.85,4,3.12
2022-01-08,1188.0,0.4,7,5.39
2022-01-09,1023.0,1.55,4,4.94
2022-01-10,294.0,0.35,5,1.2
2022-01-11,512.0,0.71,5,2.75
2022-01-12,1061.0,0.77,5,5.17
2022-01-13,1817.0,1.01,5,8.82
2022-01-14,800.0,0.76,7,4.17
2022-01-15,671.0,0.27,4,3.43
2022-01-16,956.0,0.76,4,4.87
2022-01-17,650.0,0.56,4,4.75
2022-01-18,772.0,0.5,6,2.6
2022-01-19,896.0,0.48,5,3.71
2022-01-20,498.0,0.63,4,3.46
2022-01-21,1359.0,0.58,6,5.87
2022-01-22,452.0,0.98,6,3.23
2022-01-23,423.0,0.72,6,2.56
2022-01-24,1000.0,0.8,7,6.09
2022-01-25,1306.0,1.21,4,5.48
2022-01-26,987.0,0.36,6,5.19
2022-01-27,849.0,0.38,5,4.92
2022-01-28,768.0,0.84,6,3.27
2022-01-29,703.0,0.43,6,3.84
2022-01-30,1515.0,0.7,6,6.2
2022-01-31,1066.0,0.43,5,4.79
2022-02-01,734.0,0.39,4,3.22
2022-02-02,623.0,1.04,5,1.93
2022-02-03,1229.0,0.97,7,6.1
2022-02-04,1497.0,0.93,7,6.98
2022-02-05,1430.0,0.69,4,7.22
2022-02-06,567.0,0.63,4,3.21
2022-02-07,765.0,1.14,4,5.32
2022-02-08,696.0,0.44,6,3.41
2022-02-09,818.0,0.65,6,3.9
2022-02-10,1353.0,1.7,4,6.52
2022-02-11,1733.0,1.21,5,7.64
2022-02-12,1087.0,0.59,6,3.67
2022-02-13,634.0,0.84,6,3.21
2022-02-14,886.0,0.35,5,2.76
2022-02-15,1896.0,0.96,5,8.68
2022-02-16,945.0,0.93,5,3.85
2022-02-17,769.0,0.78,4,3.21
2022-02-18,803.0,0.89,5,3.59
2022-02-19,1084.0,1.07,5,5.11
2022-02-20,577.0,0.76,6,3.07
2022-02-21,688.0,0.78,5,4.12
2022-02-22,1420.0,0.91,6,6.18
2022-02-23,1069.0,0.48,4,5.05
2022-02-24,950.0,1.14,5,6.37
2022-02-25,1455.0,0.84,4,6.75
2022-02-26,614.0,0.86,4,3.06
2022-02-27,757.0,1.03,6,3.48
2022-02-28,1051.0,0.59,7,4.79
2022-03-01,1033.0,0.6,4,4.16
2022-03-02,401.0,0.45,5,2.28
2022-03-03,719.0,1.18,6,3.95
2022-03-04,829.0,0.44,4,2.48
2022-03-05,1110.0,1.41,5,5.53
2022-03-06,1031.0,0.79,6,5.55
2022-03-07,868.0,0.77,5,3.94
2022-03-08,293.0,0.86,4,1.5
2022-03-09,890.0,0.71,5,3.41
2022-03-10,932.0,1.14,6,3.6
2022-03-11,2500.0,1.02,5,11.36
2022-03-12,815.0,1.3,4,4.13
2022-03-13,1054.0,0.61,6,5.34
2022-03-14,1575.0,1.56,4,8.35
2022-03-15,1315.0,0.69,6,6.52
2022-03-16,1768.0,0.86,4,7.47
2022-03-17,405.0,0.29,7,2.23
2022-03-18,519.0,0.37,5,0.0
2022-03-19,663.0,0.6,4,2.79
2022-03-20,369.0,0.61,4,2.25
2022-03-21,936.0,1.1,4,4.1
2022-03-22,541.0,0.51,6,1.45
2022-03-23,1884.0,1.12,7,8.03
2022-03-24,586.0,0.65,5,2.8
2022-03-25,759.0,0.82,5,4.7
2022-03-26,1353.0,0.65,6,5.81
2022-03-27,449.0,0.4,6,2.65
2022-03-28,356.0,0.35,5,1.78
2022-03-29,993.0,1.23,5,5.7
2022-03-30,1032.0,1.37,5,5.9
2022-03-31,1333.0,0.66,5,6.68
2022-04-01,1176.0,0.62,4,4.23
2022-04-02,1052.0,0.97,5,5.16
2022-04-03,622.0,1.33,5,3.99
2022-04-04,1018.0,1.61,6,5.57
2022-04-05,1050.0,0.56,4,5.12
2022-04-06,609.0,0.49,5,3.01
2022-04-07,2152.0,1.16,5,9.11
2022-04-08,1149.0,0.88,5,4.35
2022-04-09,524.0,0.52,4,2.22
2022-04-10,1337.0,0.61,5,7.57
2022-04-11,1451.0,0.84,5,6.27
2022-04-12,1115.0,1.64,5,4.52
2022-04-13,792.0,0.51,5,4.16
2022-04-14,596.0,0.67,5,3.55
2022-04-15,867.0,2.14,6,5.82
2022-04-16,1076.0,0.59,4,5.14
2022-04-17,909.0,0.95,6,5.01
2022-04-18,1808.0,1.88,5,9.72
2022-04-19,1237.0,1.01,4,5.31
2022-04-20,561.0,1.06,4,2.51
2022-04-21,494.0,0.89,4,2.06
2022-04-22,1154.0,0.95,6,5.33
2022-04-23,801.0,1.28,6,5.13
2022-04-24,1291.0,1.05,6,6.41
2022-04-25,1149.0,0.71,5,5.56
2022-04-26,869.0,0.73,5,3.07
2022-04-27,564.0,0.72,4,2.47
2022-04-28,377.0,0.42,4,0.86
2022-04-29,1009.0,0.78,5,5.46
2022-04-30,445.0,0.57,4,3.27
2022-05-01,552.0,0.83,4,3.37
2022-05-02,978.0,1.87,5,4.69
2022-05-03,931.0,0.78,6,5.38
2022-05-04,474.0,1.3,7,2.87
2022-05-05,1533.0,1.11,7,6.42
2022-05-06,1513.0,0.93,5,6.28
2022-05-07,1172.0,0.64,5,5.07
2022-05-08,1172.0,0.83,5,5.47
2022-05-09,1172.0,0.81,6,5.38
2022-05-10,1445.0,0.66,4,5.53
2022-05-11,1253.0,0.64,5,6.37
2022-05-12,589.0,0.73,6,3.0
2022-05-13,796.0,1.39,5,3.84
