IdNroServicio,Tarifa,Periodo,ConsumoEAT,Hurtos
100000,Residencial,2023-06-01,198.16,0
100000,Residencial,2023-07-01,171.82,0
100000,Residencial,2023-08-01,190.26,0
100000,Residencial,2023-09-01,183.12,0
100000,Residencial,2023-10-01,200.3,0
100000,Residencial,2023-11-01,156.64,0
100000,Residencial,2023-12-01,130.74,0
100000,Residencial,2024-01-01,186.68,0
100000,Residencial,2024-02-01,211.07,0
100000,Residencial,2024-03-01,148.58,0
100000,Residencial,2024-04-01,239.04,0
100000,Residencial,2024-05-01,200.34,0
100001,Comercial,2023-06-01,515.57,0
100001,Comercial,2023-07-01,410.69,0
100001,Comercial,2023-08-01,485.83,0
100001,Comercial,2023-09-01,624.59,0
100001,Comercial,2023-10-01,292.11,0
100001,Comercial,2023-11-01,424.84,0
100001,Comercial,2023-12-01,308.33,0
100001,Comercial,2024-01-01,528.26,0
100001,Comercial,2024-02-01,629.44,0
100001,Comercial,2024-03-01,448.37,0
100001,Comercial,2024-04-01,532.83,0
100001,Comercial,2024-05-01,686.54,0
100002,Residencial,2023-06-01,115.11,1
100002,Residencial,2023-07-01,177.74,1
100002,Residencial,2023-08-01,151.94,1
100002,Residencial,2023-09-01,182.98,1
100002,Residencial,2023-10-01,165.38,1
100002,Residencial,2023-11-01,194.91,1
100002,Residencial,2023-12-01,141.62,1
100002,Residencial,2024-01-01,186.14,1
100002,Residencial,2024-02-01,58.17,1
100002,Residencial,2024-03-01,48.36,1
100002,Residencial,2024-04-01,53.17,1
100002,Residencial,2024-05-01,56.18,1
100003,Comercial,2023-06-01,440.92,0
100003,Comercial,2023-07-01,773.46,0
100003,Comercial,2023-08-01,425.35,0
100003,Comercial,2023-09-01,334.2,0
100003,Comercial,2023-10-01,438.34,0
100003,Comercial,2023-11-01,505.11,0
100003,Comercial,2023-12-01,530.74,0
100003,Comercial,2024-01-01,622.44,0
100003,Comercial,2024-02-01,555.3,0
100003,Comercial,2024-03-01,664.32,0
100003,Comercial,2024-04-01,655.97,0
100003,Comercial,2024-05-01,616.69,0
100004,Industrial,2023-06-01,2970.2,1
100004,Industrial,2023-07-01,2042.71,1
100004,Industrial,2023-08-01,2891.65,1
100004,Industrial,2023-09-01,2061.75,1
100004,Industrial,2023-10-01,1030.63,1
100004,Industrial,2023-11-01,1385.31,1
100004,Industrial,2023-12-01,1048.54,1
100004,Industrial,2024-01-01,896.7,1
100004,Industrial,2024-02-01,1061.69,1
100004,Industrial,2024-03-01,1438.02,1
100004,Industrial,2024-04-01,1188.84,1
100004,Industrial,2024-05-01,1819.26,1
100005,Residencial,2023-06-01,184.49,0
100005,Residencial,2023-07-01,176.38,0
100005,Residencial,2023-08-01,175.77,0
100005,Residencial,2023-09-01,176.65,0
100005,Residencial,2023-10-01,150.76,0
100005,Residencial,2023-11-01,177.32,0
100005,Residencial,2023-12-01,179.92,0
100005,Residencial,2024-01-01,217.31,0
100005,Residencial,2024-02-01,188.93,0
100005,Residencial,2024-03-01,156.37,0
100005,Residencial,2024-04-01,195.43,0
100005,Residencial,2024-05-01,185.15,0
100006,Residencial,2023-06-01,193.38,0
100006,Residencial,2023-07-01,238.24,0
100006,Residencial,2023-08-01,196.03,0
100006,Residencial,2023-09-01,166.4,0
100006,Residencial,2023-10-01,171.87,0
100006,Residencial,2023-11-01,164.41,0
100006,Residencial,2023-12-01,193.86,0
100006,Residencial,2024-01-01,170.77,0
100006,Residencial,2024-02-01,108.23,0
100006,Residencial,2024-03-01,115.25,0
100006,Residencial,2024-04-01,86.18,0
100006,Residencial,2024-05-01,129.51,0
100007,Residencial,2023-06-01,231.21,0
100007,Residencial,2023-07-01,201.43,0
100007,Residencial,2023-08-01,160.6,0
100007,Residencial,2023-09-01,211.22,0
100007,Residencial,2023-10-01,100.76,0
100007,Residencial,2023-11-01,137.37,0
100007,Residencial,2023-12-01,131.37,0
100007,Residencial,2024-01-01,188.56,0
100007,Residencial,2024-02-01,191.57,0
100007,Residencial,2024-03-01,139.45,0
100007,Residencial,2024-04-01,189.96,0
100007,Residencial,2024-05-01,207.43,0
100008,Residencial,2023-06-01,174.57,0
100008,Residencial,2023-07-01,200.99,0
100008,Residencial,2023-08-01,195.14,0
100008,Residencial,2023-09-01,178.98,0
100008,Residencial,2023-10-01,154.24,0
100008,Residencial,2023-11-01,159.98,0
100008,Residencial,2023-12-01,192.09,0
100008,Residencial,2024-01-01,130.68,0
100008,Residencial,2024-02-01,171.42,0
100008,Residencial,2024-03-01,228.72,0
100008,Residencial,2024-04-01,206.5,0
100008,Residencial,2024-05-01,182.76,0
100009,Residencial,2023-06-01,172.43,0
100009,Residencial,2023-07-01,210.63,0
100009,Residencial,2023-08-01,112.13,0
100009,Residencial,2023-09-01,194.21,0
100009,Residencial,2023-10-01,239.37,0
100009,Residencial,2023-11-01,198.78,0
100009,Residencial,2023-12-01,219.94,0
100009,Residencial,2024-01-01,178.13,0
100009,Residencial,2024-02-01,159.37,0
100009,Residencial,2024-03-01,147.06,0
100009,Residencial,2024-04-01,170.03,0
100009,Residencial,2024-05-01,237.95,0
100010,Comercial,2023-06-01,341.88,0
100010,Comercial,2023-07-01,528.91,0
100010,Comercial,2023-08-01,457.4,0
100010,Comercial,2023-09-01,556.24,0
100010,Comercial,2023-10-01,676.61,0
100010,Comercial,2023-11-01,565.79,0
100010,Comercial,2023-12-01,495.09,0
100010,Comercial,2024-01-01,598.76,0
