Horometro,Periodo,Tonelaje,y
81.0,4,12256.7,0.0
237.7,12,48668.4,0.0
249.8,11,34626.8,0.252
250.8,10,54073.7,2.394
339.0,17,59659.9,0.58
411.5,19,77503.9,0.0
457.8,19,82039.0,1.192
481.8,17,87742.7,2.83
494.0,24,96662.9,0.134
641.3,25,114217.0,0.501
702.0,37,130216.1,2.81
910.0,35,172894.3,2.391
928.9,33,146953.5,3.198
964.1,49,155851.5,2.413
990.5,36,165570.9,3.568
1036.0,38,209896.8,1.838
1060.3,49,223338.1,3.484
1137.4,59,179846.9,2.516
1185.2,44,216758.9,1.694
1194.3,48,272843.4,2.101
1259.8,62,185378.0,3.859
1298.1,70,201446.8,2.662
1409.2,62,262854.2,2.7
1429.1,52,,4.24
1537.3,52,296243.4,6.244
1537.8,59,326746.0,1.961
1542.7,56,327433.0,3.07
1589.8,75,342117.2,4.109
1675.4,60,325098.8,7.173
1697.2,74,437367.3,7.334
1774.0,85,315624.8,6.05
1810.7,82,251708.7,2.357
1836.7,69,391381.0,4.627
1876.5,94,316227.2,5.612
1944.5,94,357486.2,5.73
2084.2,102,408357.6,7.237
2141.0,77,293543.5,4.359
2199.0,79,354303.9,5.986
2226.0,117,319721.1,5.263
2360.4,98,353633.6,6.675
2496.0,99,461349.9,8.458
2499.6,109,452917.5,4.923
2532.4,119,428332.7,3.646
2573.3,137,404142.0,7.803
2815.6,111,340636.3,7.04
2924.6,154,509980.0,6.69
2936.7,99,503703.9,5.413
2994.7,134,516926.6,8.37
3093.6,144,584000.0,10.631
3095.2,110,590895.3,11.957
3171.6,115,648046.8,11.102
3200.1,135,651627.5,9.917
3229.5,173,,8.982
3316.6,152,536142.5,8.561
3343.5,176,617490.3,9.458
3365.5,169,,9.361
3436.0,148,719380.6,14.423
3488.5,173,648587.6,12.887
3584.1,121,730851.9,13.335
3628.5,129,675154.9,9.536
3647.3,185,595947.5,10.721
3815.6,191,801531.8,13.811
3899.8,149,501565.9,8.601
3979.9,177,593630.5,11.235
4075.1,187,600463.7,10.487
4078.8,210,542849.1,9.691
4080.1,187,729712.9,12.617
4191.2,176,797669.4,13.329
4262.3,175,771299.2,9.917
4470.3,189,868085.1,14.14
4493.8,211,902664.4,13.821
4573.9,235,901761.5,12.793
4753.0,203,769535.1,14.739
4786.1,184,1080220.4,20.0
4803.9,184,873960.5,16.024
4808.7,235,839168.6,13.898
4827.7,243,791655.3,14.642
4828.0,172,756328.3,12.183
4877.6,169,756050.7,12.445
4907.7,224,888770.4,12.837
4943.0,180,906912.4,15.226
4954.2,250,1117147.9,18.287
5013.5,200,773248.7,10.623
5048.1,183,1039621.1,16.824
5080.6,267,832825.6,13.324
5133.9,189,893814.2,16.968
5165.1,203,889554.3,15.633
5182.1,189,632791.3,10.144
5208.4,186,975676.4,16.17
5232.8,177,892999.2,14.5
5305.3,183,921858.1,14.636
5353.2,198,865330.5,12.461
5397.8,186,947870.1,15.144
5433.9,248,1085850.9,16.63
5511.5,262,1024121.2,14.884
5665.6,235,970171.2,16.445
5727.4,229,1025266.5,17.202
6089.4,267,1328760.9,19.294
6094.4,314,1119596.0,18.072
6100.4,312,786342.6,14.057
6103.4,209,1265140.2,22.194
6127.4,227,1089451.4,19.171
6151.3,235,1158342.3,18.953
6217.6,240,1155504.0,17.668
6256.2,283,1193079.7,17.97
6289.0,264,1227593.9,20.556
6371.4,219,1381143.5,23.222
6391.7,263,1586977.1,28.031
6425.1,284,1132169.0,19.996
6464.1,229,1273478.7,20.668
6500.1,330,1290823.3,19.407
6900.4,237,1115988.1,17.736
6933.1,365,1278777.0,21.248
6948.3,246,1190080.2,19.154
6981.9,355,1412930.9,22.426
7082.5,369,1056859.5,17.54
7148.3,384,919372.2,14.173
7253.6,363,900346.1,13.682
7281.1,361,1155394.6,19.285
7307.4,341,1307270.5,20.866
7313.4,362,1388761.9,23.163
7352.4,266,1611119.0,27.028
7368.0,328,1501785.5,23.165
7394.6,326,1069415.5,16.723
7507.5,384,1437813.9,25.674
7513.5,323,1402951.6,21.437
7659.5,317,1377465.9,19.664
7671.0,358,1443300.3,21.149
7696.8,299,1472173.3,24.292
7702.9,279,1430930.9,23.587
7756.8,336,1601541.8,26.315
7885.8,331,1106979.1,19.731
7914.1,302,1387402.4,19.056
7946.0,326,1777812.0,30.091
7996.9,328,1395592.7,25.124
8192.4,329,1597596.9,24.833
8234.7,340,1487058.7,23.975
8339.0,397,,26.537
8343.7,330,1443324.5,22.504
8372.5,445,1447958.2,23.379
8415.0,441,1474766.5,26.294
8455.1,367,1694155.5,30.656
8513.5,342,1362234.6,21.897
8562.2,381,1611119.0,29.313
8566.3,437,1915230.2,31.985
8588.0,403,1538469.0,27.847
8610.1,431,1436215.1,23.503
8622.9,383,1784970.5,29.845
8646.7,402,1498483.8,25.215
8656.2,341,1845890.0,35.174
8852.4,431,1209687.8,20.961
8890.8,334,1572564.5,24.99
8954.2,428,1119317.9,19.596
9050.4,464,1224029.2,19.506
9089.2,328,1876883.9,30.579
9103.9,420,1715486.0,29.725
9127.7,322,1589511.4,26.316
9154.9,444,1247465.3,20.801
9159.5,321,981793.0,15.944
9387.4,496,1653411.1,27.848
9422.8,341,2394915.3,41.002
9444.6,503,1780492.0,26.872
9808.4,491,1620575.5,27.742
9824.3,449,2068873.2,33.257
9857.8,489,1438237.1,21.65
9928.6,495,1821169.7,30.21
9994.4,530,1970684.4,33.024
10076.1,389,1895087.4,30.612
10176.3,464,1904923.9,32.918
10194.4,360,1946739.9,30.608
10296.5,475,1864136.6,30.472
10316.1,381,1730726.0,27.899
10481.9,473,2315262.2,38.925
10544.2,477,2333267.6,39.7
10580.9,455,1625840.3,25.489
10642.6,471,1523575.4,26.149
10660.9,525,2484183.4,42.088
10677.7,534,1722355.5,25.924
10731.8,468,2096500.1,32.377
10916.1,500,1750476.7,29.044
