edad,monto_credito,antiguedad_laboral_meses,correo_dominio_gratuito,telefono_verificado,reputacion_negocio,ingresos_declarados,ingresos_declarados_reportados_bis,monto_credito_normalizado,region_operativa_constante,target
55,6617.0,25.0,1,0,0.955,6028.0,6000.0,4.385,1,0
34,5470.0,44.0,0,1,0.291,10333.0,10312.0,3.674,1,0
58,6754.0,25.0,1,0,0.632,9966.0,10161.0,4.634,1,0
36,8317.0,58.0,0,1,0.389,3753.0,3714.0,5.53,1,0
29,4175.0,14.0,0,1,0.513,20177.0,20216.0,2.892,1,1
28,2327.0,46.0,1,1,0.395,4227.0,4179.0,1.51,1,0
56,1594.0,10.0,1,0,0.762,8373.0,8402.0,1.034,1,0
59,2480.0,1.0,1,1,0.475,2112.0,2158.0,1.69,2,0
47,3325.0,36.0,1,1,0.738,14356.0,14337.0,2.152,1,1
50,8022.0,8.0,0,0,0.989,10013.0,10167.0,5.353,1,0
36,1907.0,35.0,1,1,0.397,12463.0,12946.0,1.284,1,0
27,6460.0,42.0,1,1,0.721,7584.0,7361.0,4.399,1,0
32,5427.0,18.0,1,0,0.555,8166.0,7805.0,3.722,2,1
35,5146.0,28.0,0,1,0.521,17535.0,17225.0,3.371,1,0
59,3624.0,16.0,1,1,0.367,4088.0,4254.0,2.64,1,0
36,3036.0,7.0,0,1,0.685,13870.0,14779.0,2.009,2,0
47,6636.0,29.0,1,1,0.7,3003.0,2973.0,4.429,1,0
64,3595.0,50.0,0,1,0.993,4584.0,4559.0,2.491,1,0
33,976.0,5.0,1,1,0.684,5038.0,5133.0,0.645,1,0
31,2079.0,26.0,1,1,0.838,3874.0,3893.0,1.416,1,0
21,6246.0,21.0,1,0,0.753,22139.0,21837.0,4.272,1,0
50,7196.0,48.0,0,1,0.897,10987.0,10732.0,4.821,2,0
40,6914.0,12.0,1,1,0.206,6724.0,6442.0,4.583,1,1
42,7988.0,48.0,0,0,0.562,6631.0,6828.0,5.362,1,0
38,3323.0,4.0,1,1,0.0,15291.0,14935.0,2.152,2,0
29,4122.0,35.0,1,1,0.259,12093.0,11935.0,2.681,1,0
62,10189.0,1.0,0,1,0.881,13277.0,13314.0,6.795,1,0
61,8227.0,3.0,1,1,0.903,7250.0,7080.0,5.579,1,0
61,8161.0,66.0,1,0,1.0,5147.0,4862.0,5.477,1,0
21,9976.0,37.0,1,0,0.679,14846.0,15526.0,6.736,2,0
38,8256.0,43.0,1,1,0.597,10352.0,10487.0,5.536,2,0
59,7567.0,3.0,0,1,0.647,8365.0,8811.0,5.26,1,0
36,3739.0,91.0,1,1,0.508,3410.0,3516.0,2.511,1,0
34,7131.0,20.0,1,1,0.697,8720.0,8701.0,4.685,1,0
25,6127.0,53.0,1,1,0.64,11875.0,11781.0,4.15,1,0
20,4544.0,7.0,0,1,0.907,6238.0,6206.0,3.033,1,0
36,10039.0,0.0,0,0,0.655,7423.0,7534.0,6.904,1,0
24,4063.0,4.0,1,1,0.774,14881.0,14291.0,2.666,1,0
56,4859.0,23.0,0,1,0.599,9514.0,9359.0,3.315,2,0
61,1537.0,1.0,0,1,0.741,7474.0,7295.0,0.976,1,0
47,5656.0,10.0,1,1,0.33,8860.0,8607.0,3.836,2,0
51,4129.0,45.0,1,1,0.76,7510.0,7282.0,2.791,1,0
22,8258.0,10.0,1,0,0.697,13335.0,13093.0,5.678,2,0
24,7008.0,2.0,1,1,0.759,2319.0,2391.0,4.555,1,0
58,4052.0,10.0,1,0,0.484,9080.0,8921.0,2.668,1,0
61,7123.0,64.0,1,0,0.407,7712.0,8217.0,4.915,1,0
39,1512.0,10.0,1,1,0.594,9883.0,10132.0,1.001,1,0
39,4049.0,18.0,1,0,0.311,10452.0,9677.0,2.655,1,1
38,4436.0,12.0,0,1,0.598,5547.0,5707.0,3.2,1,0
27,4734.0,10.0,0,1,1.0,7556.0,7460.0,3.075,1,0
56,1629.0,34.0,1,1,0.421,14090.0,14248.0,1.064,1,0
64,10186.0,31.0,1,1,0.806,8167.0,8298.0,6.659,2,0
50,826.0,36.0,1,1,0.553,11248.0,11975.0,0.544,1,0
31,10772.0,26.0,0,1,0.404,8045.0,8330.0,7.418,1,0
63,4284.0,10.0,0,1,0.485,6791.0,6868.0,3.014,1,0
23,8946.0,7.0,0,1,0.714,7705.0,7941.0,6.074,1,1
21,8939.0,32.0,1,1,0.699,9684.0,10039.0,5.67,1,1
23,8365.0,6.0,0,1,0.619,6652.0,6729.0,5.486,1,0
47,3572.0,7.0,1,0,0.887,23486.0,23727.0,2.473,1,0
34,6663.0,85.0,1,1,0.626,6897.0,7102.0,4.307,1,0
47,5977.0,16.0,1,1,0.607,2893.0,2806.0,3.946,1,0
49,6911.0,25.0,0,1,0.418,7138.0,7186.0,4.743,1,0
53,6316.0,14.0,1,1,0.74,7568.0,7452.0,4.39,2,0
45,6227.0,37.0,0,1,0.514,5318.0,5316.0,4.221,1,0
41,6196.0,55.0,1,1,0.551,10074.0,9994.0,4.298,1,0
27,6319.0,6.0,1,1,0.463,13945.0,14329.0,4.449,1,0
36,1320.0,8.0,0,0,0.514,10355.0,10426.0,0.875,1,0
50,5283.0,17.0,1,1,0.468,18326.0,18449.0,3.483,1,0
34,795.0,33.0,1,0,0.373,7259.0,7590.0,0.533,1,0
46,7205.0,7.0,0,1,0.388,3873.0,3818.0,4.858,1,0
51,2965.0,2.0,1,0,0.828,6405.0,6182.0,1.982,1,0
