target,RMSE_SVR_base,RMSE_SVR_sintonizado,mejora_%
Xc (mm),2.666684138119546,2.519943044899925,5.502754942814403
n,0.017354498322742953,0.017572631595316548,-1.256926409032122
P10 (mm),0.6555189427401997,0.6606568954435192,-0.7837992723508158
P20 (mm),0.9966362406416213,0.9370735250444455,5.976374645861771
P30 (mm),1.038221947163254,0.9885947557593595,4.780017561706485
P40 (mm),1.3066314717329623,1.2444185399373437,4.761322005592494
P50 (mm),1.620243913837235,1.5994408369001865,1.2839472353135095
P60 (mm),1.7312901878116116,1.6141041010199089,6.7687143158726375
P70 (mm),2.3507787419034067,2.2315390257182126,5.072349603121163
P80 (mm),2.1375601041232324,2.1092039613738605,1.3265658680041148
P90 (mm),3.6546538670581206,3.1779773783061116,13.042999586051584
Xmax (mm),3.6265114740218722,3.3840796230891472,6.684987836640244
