fecha,mes,precipitacion_estacion_mm,precipitacion_satelital_mm
2016-01-01,1,29.7,0.0
2016-02-01,2,15.6,17.7
2016-03-01,3,42.9,44.2
2016-04-01,4,138.7,122.4
2016-05-01,5,153.4,112.2
2016-06-01,6,91.9,118.2
2016-07-01,7,,62.2
2016-08-01,8,32.2,37.1
2016-09-01,9,,56.0
2016-10-01,10,101.8,58.6
2016-11-01,11,35.0,29.9
2016-12-01,12,29.7,2.1
2017-01-01,1,22.1,0.0
2017-02-01,2,16.3,10.5
2017-03-01,3,37.0,57.1
2017-04-01,4,95.6,87.8
2017-05-01,5,147.7,125.3
2017-06-01,6,139.8,117.9
2017-07-01,7,36.9,53.7
2017-08-01,8,36.5,56.6
2017-09-01,9,55.6,58.9
2017-10-01,10,85.8,51.0
2017-11-01,11,54.5,41.3
2017-12-01,12,32.9,3.6
2018-01-01,1,20.3,17.6
2018-02-01,2,0.0,28.1
2018-03-01,3,57.0,50.9
2018-04-01,4,145.7,100.4
2018-05-01,5,141.8,106.0
2018-06-01,6,88.1,120.3
2018-07-01,7,108.5,86.4
2018-08-01,8,67.3,47.0
2018-09-01,9,76.0,54.8
2018-10-01,10,106.1,55.7
2018-11-01,11,30.6,50.7
2018-12-01,12,0.1,0.0
2019-01-01,1,0.0,19.6
2019-02-01,2,,0.0
2019-03-01,3,73.3,59.9
2019-04-01,4,117.3,99.3
2019-05-01,5,138.2,135.9
2019-06-01,6,135.6,108.4
2019-07-01,7,86.6,64.1
2019-08-01,8,66.2,44.8
2019-09-01,9,58.4,43.2
2019-10-01,10,61.8,71.7
2019-11-01,11,65.6,48.0
2019-12-01,12,12.9,8.0
2020-01-01,1,5.7,1.5
2020-02-01,2,2.9,18.0
2020-03-01,3,57.3,54.1
2020-04-01,4,122.0,101.7
2020-05-01,5,,125.2
2020-06-01,6,117.9,109.5
2020-07-01,7,70.0,69.3
2020-08-01,8,21.3,57.1
2020-09-01,9,73.6,54.0
2020-10-01,10,41.0,59.0
2020-11-01,11,39.1,33.5
2020-12-01,12,41.2,20.6
2021-01-01,1,20.5,14.9
2021-02-01,2,0.0,10.8
2021-03-01,3,75.5,55.7
2021-04-01,4,111.9,103.9
2021-05-01,5,127.3,122.4
2021-06-01,6,142.4,108.2
2021-07-01,7,92.2,77.4
2021-08-01,8,127.3,36.8
2021-09-01,9,,52.3
2021-10-01,10,63.0,57.3
2021-11-01,11,52.3,28.3
2021-12-01,12,44.2,17.4
2022-01-01,1,9.5,11.3
2022-02-01,2,50.0,8.7
2022-03-01,3,63.8,38.1
2022-04-01,4,102.2,93.0
2022-05-01,5,135.0,125.0
2022-06-01,6,114.6,119.6
2022-07-01,7,75.1,65.8
2022-08-01,8,44.8,32.6
2022-09-01,9,56.1,65.2
2022-10-01,10,85.1,58.1
2022-11-01,11,62.9,49.0
2022-12-01,12,57.5,7.8
2023-01-01,1,0.0,21.3
2023-02-01,2,,16.6
2023-03-01,3,107.3,42.8
2023-04-01,4,127.2,102.9
2023-05-01,5,147.6,125.3
2023-06-01,6,97.0,95.6
2023-07-01,7,87.0,80.3
2023-08-01,8,59.4,47.9
2023-09-01,9,61.4,62.0
2023-10-01,10,89.7,54.4
2023-11-01,11,25.7,44.3
2023-12-01,12,19.2,18.6
