Evento,dia,mes,anio,Zona,Precio,Venta
Evento 1,3,3,2024,Zona A,176.86,14
Evento 1,3,3,2024,Zona B,106.28,10
Evento 1,3,3,2024,Zona C,77.09,6
Evento 1,3,3,2024,Zona D,56.41,5
Evento 2,2,2,2024,Zona A,460.74,59
Evento 2,2,2,2024,Zona B,287.48,41
Evento 2,2,2,2024,Zona C,206.8,21
Evento 2,2,2,2024,Zona D,151.1,12
Evento 3,5,3,2024,Zona A,198.77,127
Evento 3,5,3,2024,Zona B,120.62,70
Evento 3,5,3,2024,Zona C,78.99,52
Evento 3,5,3,2024,Zona D,59.7,35
Evento 4,2,3,2023,Zona A,239.61,93
Evento 4,2,3,2023,Zona B,148.75,62
Evento 4,2,3,2023,Zona C,108.95,38
Evento 4,2,3,2023,Zona D,79.95,32
Evento 5,4,3,2024,Zona A,371.94,102
Evento 5,4,3,2024,Zona B,230.44,70
Evento 5,4,3,2024,Zona C,150.16,39
Evento 5,4,3,2024,Zona D,109.49,36
Evento 6,0,3,2023,Zona A,328.58,123
Evento 6,0,3,2023,Zona B,194.7,65
Evento 6,0,3,2023,Zona C,145.5,57
Evento 6,0,3,2023,Zona D,97.6,36
Evento 7,5,1,2024,Zona A,395.59,117
Evento 7,5,1,2024,Zona B,256.68,122
Evento 7,5,1,2024,Zona C,187.68,45
Evento 7,5,1,2024,Zona D,130.17,54
Evento 8,1,7,2023,Zona A,404.9,139
Evento 8,1,7,2023,Zona B,237.53,100
Evento 8,1,7,2023,Zona C,166.16,60
Evento 8,1,7,2023,Zona D,126.6,52
Evento 9,2,5,2023,Zona A,139.61,165
Evento 9,2,5,2023,Zona B,92.91,109
Evento 9,2,5,2023,Zona C,60.36,98
Evento 9,2,5,2023,Zona D,42.31,78
Evento 10,5,1,2024,Zona A,359.69,180
Evento 10,5,1,2024,Zona B,222.92,222
Evento 10,5,1,2024,Zona C,158.54,94
Evento 10,5,1,2024,Zona D,111.89,64
Evento 11,2,6,2023,Zona A,256.35,243
Evento 11,2,6,2023,Zona B,152.12,148
Evento 11,2,6,2023,Zona C,109.41,94
Evento 11,2,6,2023,Zona D,75.94,47
Evento 12,3,11,2023,Zona A,359.54,236
Evento 12,3,11,2023,Zona B,219.06,165
Evento 12,3,11,2023,Zona C,154.94,110
Evento 12,3,11,2023,Zona D,103.56,58
Evento 13,4,2,2024,Zona A,445.45,246
Evento 13,4,2,2024,Zona B,279.55,178
Evento 13,4,2,2024,Zona C,196.24,78
Evento 13,4,2,2024,Zona D,131.29,88
Evento 14,1,3,2023,Zona A,312.33,293
Evento 14,1,3,2023,Zona B,201.53,282
Evento 14,1,3,2023,Zona C,141.35,193
Evento 14,1,3,2023,Zona D,102.08,88
