almacen,producto,periodo,ventas
Almacen A,Producto 1,2023-06,117
Almacen A,Producto 1,2023-07,155
Almacen A,Producto 1,2023-08,132
Almacen A,Producto 1,2023-09,144
Almacen A,Producto 1,2023-10,168
Almacen A,Producto 1,2023-11,148
Almacen A,Producto 1,2023-12,133
Almacen A,Producto 1,2024-01,149
Almacen A,Producto 1,2024-02,184
Almacen A,Producto 1,2024-03,145
Almacen A,Producto 1,2024-04,174
Almacen A,Producto 1,2024-05,172
Almacen A,Producto 1,2024-06,140
Almacen A,Producto 1,2024-07,157
Almacen A,Producto 1,2024-08,159
Almacen A,Producto 1,2024-09,136
Almacen A,Producto 1,2024-10,144
Almacen A,Producto 1,2024-11,168
Almacen A,Producto 1,2024-12,145
Almacen A,Producto 1,2025-01,161
Almacen A,Producto 1,2025-02,199
Almacen A,Producto 1,2025-03,187
Almacen A,Producto 1,2025-04,161
Almacen A,Producto 1,2025-05,182
Almacen A,Producto 1,2025-06,209
Almacen A,Producto 1,2025-07,143
Almacen A,Producto 1,2025-08,180
Almacen A,Producto 1,2025-09,178
Almacen A,Producto 1,2025-10,165
Almacen A,Producto 1,2025-11,185
Almacen A,Producto 2,2023-06,124
Almacen A,Producto 2,2023-07,122
Almacen A,Producto 2,2023-08,119
Almacen A,Producto 2,2023-09,104
Almacen A,Producto 2,2023-10,125
Almacen A,Producto 2,2023-11,112
Almacen A,Producto 2,2023-12,153
Almacen A,Producto 2,2024-01,153
Almacen A,Producto 2,2024-02,168
Almacen A,Producto 2,2024-03,181
Almacen A,Producto 2,2024-04,186
Almacen A,Producto 2,2024-05,145
Almacen A,Producto 2,2024-06,162
Almacen A,Producto 2,2024-07,152
Almacen A,Producto 2,2024-08,126
Almacen A,Producto 2,2024-09,151
Almacen A,Producto 2,2024-10,117
Almacen A,Producto 2,2024-11,132
Almacen A,Producto 2,2024-12,161
Almacen A,Producto 2,2025-01,158
Almacen A,Producto 2,2025-02,203
Almacen A,Producto 2,2025-03,187
Almacen A,Producto 2,2025-04,210
Almacen A,Producto 2,2025-05,155
Almacen A,Producto 2,2025-06,145
Almacen A,Producto 2,2025-07,170
Almacen A,Producto 2,2025-08,122
Almacen A,Producto 2,2025-09,155
Almacen A,Producto 2,2025-10,128
Almacen A,Producto 2,2025-11,156
Almacen A,Producto 3,2023-06,184
Almacen A,Producto 3,2023-07,204
Almacen A,Producto 3,2023-08,169
Almacen A,Producto 3,2023-09,177
Almacen A,Producto 3,2023-10,168
Almacen A,Producto 3,2023-11,187
Almacen A,Producto 3,2023-12,195
Almacen A,Producto 3,2024-01,195
Almacen A,Producto 3,2024-02,246
Almacen A,Producto 3,2024-03,243
Almacen A,Producto 3,2024-04,188
Almacen A,Producto 3,2024-05,222
Almacen A,Producto 3,2024-06,227
Almacen A,Producto 3,2024-07,232
Almacen A,Producto 3,2024-08,142
Almacen A,Producto 3,2024-09,173
Almacen A,Producto 3,2024-10,189
Almacen A,Producto 3,2024-11,208
Almacen A,Producto 3,2024-12,193
Almacen A,Producto 3,2025-01,240
Almacen A,Producto 3,2025-02,233
