PLACA_INI_INTERRUP,PLACA_FIN_INTERRUP,ELEM_FIN_INTERRUP,FECHA_INI_INTERRUP,FECHA_FIN_INTERRUP,DURACION_INT_HRS,CAUSA_FALLA,COMENTARIOS_OA,MUNICIPIO_ELEM_INI,CKTO_ELE_OPE
PLACA_0029,PLACA_0018,Conductor,2014-07-18 07:00:00,2014-07-18 11:18:36,4.31,Vegetación,Rama sobre la linea provoco interrupcion,Municipio_1,Circuito_11
PLACA_0055,PLACA_0005,Poste,2013-06-28 18:00:00,2013-06-28 20:41:24,2.69,Vegetación,Falta de poda genero contacto con vegetacion,Municipio_1,Circuito_4
PLACA_0026,PLACA_0092,Conductor,2013-02-24 17:00:00,2013-02-24 19:29:24,2.49,Elemento fallado,"Aislador con fractura visible, elemento mal estado",Municipio_6,Circuito_9
PLACA_0104,PLACA_0112,Poste,2016-04-21 08:00:00,2016-04-21 10:29:24,2.49,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_2,Circuito_12
PLACA_0098,PLACA_0044,Poste,2013-11-15 06:00:00,2013-11-15 14:22:12,8.37,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_1,Circuito_7
PLACA_0104,PLACA_0006,Conductor,2016-05-21 08:00:00,2016-05-21 13:09:36,5.16,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_4,Circuito_9
PLACA_0038,PLACA_0107,Conductor,2013-06-11 17:00:00,2013-06-11 19:02:24,2.04,Contacto animal,Contacto de fauna con el conductor detectado en campo,Municipio_5,Circuito_15
PLACA_0009,PLACA_0006,Conductor,2014-01-29 22:00:00,2014-01-30 02:27:00,4.45,Otros,"Interrupcion fuera de norma, se programa revision",Municipio_2,Circuito_13
PLACA_0049,PLACA_0036,Fusible,2014-04-22 03:00:00,2014-04-22 06:36:00,3.6,Elemento fallado,"Cortacircuito dañado por desgaste, se reemplaza en sitio",Municipio_6,Circuito_14
PLACA_0086,PLACA_0035,Conductor,2014-12-29 06:00:00,2014-12-29 06:23:24,0.39,Elemento fallado,Fusible fallo por sobrecarga sostenida,Municipio_6,Circuito_11
