Fecha_m,Casa_pp,SanCri_pp,Ago_pp,SanMat_q
12/04/2018 20:00,0,0.1,0,28.3771
12/04/2018 21:00,0,0,0,28.93763
12/04/2018 22:00,0,0,0,28.3771
12/04/2018 23:00,0,0,0,28.3771
13/04/2018 00:00,0,0,0,30.05869
13/04/2018 01:00,0.1,0,0,30.05869
13/04/2018 02:00,0,0,0,31.74028
13/04/2018 03:00,0,0,0,30.05869
13/04/2018 04:00,0,0,0,31.17975
13/04/2018 05:00,0,0,0,31.74028
13/04/2018 06:00,0,0,0,31.74028
13/04/2018 07:00,0,0,0.1,29.49816
13/04/2018 08:00,0,0,0,26.69551
13/04/2018 09:00,0.6,0.9,0.1,27.81657
13/04/2018 10:00,0.1,1.5,0,25.01392
13/04/2018 11:00,0.2,1.5,0,25.57445
13/04/2018 12:00,0,0,,24.45339
13/04/2018 13:00,0,0.1,0,24.45339
13/04/2018 14:00,0.1,0.4,0,25.57445
13/04/2018 15:00,0.1,0,0,26.13498
13/04/2018 16:00,0,0,0,26.13498
13/04/2018 17:00,0,0,0,25.01392
13/04/2018 18:00,0,0,0,25.57445
13/04/2018 19:00,0,0.1,0.5,25.57445
13/04/2018 20:00,0.2,0,0.3,26.13498
13/04/2018 21:00,0,0,0.1,25.01392
13/04/2018 22:00,0.3,0,0.1,25.01392
13/04/2018 23:00,0.3,0,0.1,25.01392
14/04/2018 00:00,0,0,0.1,25.57445
14/04/2018 01:00,0,0,0,25.01392
14/04/2018 02:00,0,0,0,24.45339
14/04/2018 03:00,0,0,0,23.89286
14/04/2018 04:00,0,0.1,0,25.01392
14/04/2018 05:00,0,0,0,24.45339
14/04/2018 06:00,0,0,0,24.45339
14/04/2018 07:00,0,0.1,0,26.13498
14/04/2018 08:00,0,0.3,0,25.57445
14/04/2018 09:00,0,0.7,0.1,23.89286
14/04/2018 10:00,0,1.7,0.2,25.01392
14/04/2018 11:00,0,0.2,0,22.7718
14/04/2018 12:00,0,0.4,,23.89286
14/04/2018 13:00,0.1,0.6,0,23.89286
14/04/2018 14:00,0,2.4,0,22.7718
14/04/2018 15:00,0,0.7,0.1,23.33233
14/04/2018 16:00,0,0,0,23.89286
14/04/2018 17:00,0,0,0,25.57445
14/04/2018 18:00,0,0,0,24.45339
14/04/2018 19:00,0,0,0,22.7718
14/04/2018 20:00,0,0.1,0,24.45339
14/04/2018 21:00,0,0.2,0,25.01392
14/04/2018 22:00,0,0.1,0.2,25.01392
14/04/2018 23:00,0,0,0,22.21127
15/04/2018 00:00,0,0,0,24.45339
15/04/2018 01:00,0,0,0,24.45339
15/04/2018 02:00,0,0,0,23.89286
15/04/2018 03:00,0,0,0,21.09021
15/04/2018 04:00,0,0,0,22.7718
15/04/2018 05:00,0,0,0,22.7718
15/04/2018 06:00,0,0,0,23.89286
15/04/2018 07:00,0,0,0,23.89286
15/04/2018 08:00,0,0,0,22.7718
15/04/2018 09:00,0,0,0,23.33233
15/04/2018 10:00,0,0,0,23.33233
15/04/2018 11:00,0,0,0,24.45339
15/04/2018 12:00,0,0,,22.21127
15/04/2018 13:00,0,0,0,23.89286
15/04/2018 14:00,0,0,0,23.89286
15/04/2018 15:00,0,0,0,22.21127
15/04/2018 16:00,0,0,0,23.89286
15/04/2018 17:00,0,0,0,23.89286
15/04/2018 18:00,0,0,0,22.21127
15/04/2018 19:00,0,0,0,23.33233
15/04/2018 20:00,0,0,0,21.09021
15/04/2018 21:00,0,0,0,22.21127
15/04/2018 22:00,0,0,0,22.21127
15/04/2018 23:00,0,0,0,23.33233
16/04/2018 00:00,0,0,0,22.21127
16/04/2018 01:00,0,0,0,23.89286
16/04/2018 02:00,0,0,0,21.65074
16/04/2018 03:00,0,0,0,22.21127
16/04/2018 04:00,0,0,0,22.21127
16/04/2018 05:00,0,0,0,21.65074
16/04/2018 06:00,0,0,0,21.65074
16/04/2018 07:00,0,0,0,20.52968
16/04/2018 08:00,0,0,0.1,21.09021
16/04/2018 09:00,0,0,0,19.96915
16/04/2018 10:00,0,0,0,22.7718
16/04/2018 11:00,0,0,0,21.65074
16/04/2018 12:00,0,0,,21.09021
16/04/2018 13:00,0,0,0,21.09021
16/04/2018 14:00,0,0,0,21.65074
16/04/2018 15:00,0,0,0,21.65074
16/04/2018 16:00,0,0,0,20.52968
16/04/2018 17:00,0,0,0,19.96915
16/04/2018 18:00,0,0,0,21.09021
16/04/2018 19:00,0,0,0,20.52968
16/04/2018 20:00,0,0,0,21.09021
16/04/2018 21:00,0,0,0,21.09021
16/04/2018 22:00,0,0,0,19.96915
16/04/2018 23:00,0,0,0,20.52968
17/04/2018 00:00,0,0,0,19.96915
17/04/2018 01:00,0,0,0,18.43056369
17/04/2018 02:00,0,0,0,19.96915
17/04/2018 03:00,0,0,0,19.96915
17/04/2018 04:00,0,0,0,19.40862
17/04/2018 05:00,0,0,0,21.09021
17/04/2018 06:00,0,0,0,19.96915
17/04/2018 07:00,0,0,0,21.09021
17/04/2018 08:00,0,0,0,19.96915
17/04/2018 09:00,0,0,0,18.43056369
17/04/2018 10:00,0,0,0,18.43056369
17/04/2018 11:00,0,0,0,19.96915
17/04/2018 12:00,0,0,,19.40862
17/04/2018 13:00,0,0,0,18.26755031
17/04/2018 14:00,0,0,0,18.10285541
17/04/2018 15:00,0,0,0,18.43056369
17/04/2018 16:00,0,0,0,19.40862
17/04/2018 17:00,0,0,0,18.10285541
17/04/2018 18:00,0,0,0,18.26755031
17/04/2018 19:00,0,0,0,17.93642817
17/04/2018 20:00,0,0,0,18.26755031
17/04/2018 21:00,0,0,0,17.59816016
17/04/2018 22:00,0,0,0,17.93642817
17/04/2018 23:00,0,0,0,19.40862
18/04/2018 00:00,0,0,0,18.43056369
18/04/2018 01:00,0,0,0,19.96915
18/04/2018 02:00,0,0,0,18.10285541
18/04/2018 03:00,0,0,0,18.10285541
18/04/2018 04:00,0,0,0,18.26755031
18/04/2018 05:00,0,0,0,17.93642817
18/04/2018 06:00,0,0,0,18.26755031
18/04/2018 07:00,0,0,0,18.26755031
18/04/2018 08:00,0,0,0,17.76821515
18/04/2018 09:00,0,0,0,18.10285541
18/04/2018 10:00,0,0,0,18.10285541
18/04/2018 11:00,0,0,0,18.26755031
18/04/2018 12:00,0,0,,18.26755031
18/04/2018 13:00,0,0,0,17.93642817
18/04/2018 14:00,0,0,0,17.76821515
18/04/2018 15:00,0,0,0,18.10285541
18/04/2018 16:00,0,0,0,18.10285541
18/04/2018 17:00,0,0,0,17.93642817
18/04/2018 18:00,0,0,0,17.76821515
18/04/2018 19:00,0,0,0,17.42620399
18/04/2018 20:00,0,0,0,18.10285541
18/04/2018 21:00,0,0,0,18.10285541
18/04/2018 22:00,0,0,0,17.76821515
18/04/2018 23:00,0,0,0,17.93642817
19/04/2018 00:00,0,0,0,17.93642817
19/04/2018 01:00,0,0,0,18.26755031
19/04/2018 02:00,0,0,0,19.40862
19/04/2018 03:00,0,0,0,18.43056369
19/04/2018 04:00,0,0,0,18.43056369
19/04/2018 05:00,0,0,0,18.10285541
19/04/2018 06:00,0,0,0,18.10285541
19/04/2018 07:00,0,0,0,18.26755031
19/04/2018 08:00,0,0,0,18.10285541
19/04/2018 09:00,0,0,0,17.76821515
19/04/2018 10:00,0,0,0,18.10285541
19/04/2018 11:00,0,0,0,17.76821515
19/04/2018 12:00,0,0,,17.76821515
19/04/2018 13:00,0,0,0,17.76821515
19/04/2018 14:00,0,0,0,17.93642817
19/04/2018 15:00,0,0,0,17.76821515
19/04/2018 16:00,0.1,0,0,17.93642817
19/04/2018 17:00,0,0.7,0,17.76821515
19/04/2018 18:00,0,0,0.6,17.76821515
19/04/2018 19:00,0,0,4.6,17.76821515
19/04/2018 20:00,0,0,1.7,18.10285541
19/04/2018 21:00,4.1,0,1.3,18.10285541
19/04/2018 22:00,2.6,0,1.3,17.93642817
19/04/2018 23:00,1.2,0,1.4,19.96915
20/04/2018 00:00,0.2,0,1.1,18.26755031
20/04/2018 01:00,0.1,0,0.3,18.43056369
20/04/2018 02:00,0,0,0.1,18.43056369
20/04/2018 03:00,0,0,0.2,18.26755031
20/04/2018 04:00,0,0,0,18.43056369
20/04/2018 05:00,0,0,0,18.26755031
20/04/2018 06:00,0,0,0,18.26755031
20/04/2018 07:00,0,0,0,18.10285541
20/04/2018 08:00,0.1,0,0.4,18.43056369
20/04/2018 09:00,0,0.1,1.3,19.40862
20/04/2018 10:00,0,0,2,17.93642817
20/04/2018 11:00,0,0,2.8,17.93642817
20/04/2018 12:00,0,0,,18.10285541
20/04/2018 13:00,0,0,0.6,18.10285541
20/04/2018 14:00,0,0,0,18.10285541
20/04/2018 15:00,0,0,0,18.26755031
20/04/2018 16:00,0,0,0,18.26755031
20/04/2018 17:00,0,0,0,17.59816016
20/04/2018 18:00,0.7,0,0,17.76821515
20/04/2018 19:00,0.1,0,0,18.10285541
20/04/2018 20:00,0,0,0,17.76821515
20/04/2018 21:00,0.1,0,0,17.93642817
20/04/2018 22:00,0,0,0,17.93642817
20/04/2018 23:00,0,0,0,17.93642817
21/04/2018 00:00,0,0,0,17.93642817
21/04/2018 01:00,0,0,0,17.93642817
21/04/2018 02:00,0,0,0,18.10285541
21/04/2018 03:00,0,0,0,17.93642817
21/04/2018 04:00,0,0,0,18.10285541
21/04/2018 05:00,0,0,0,18.26755031
21/04/2018 06:00,0,0,0,18.10285541
21/04/2018 07:00,0,0,0,18.10285541
21/04/2018 08:00,0,0,0,17.93642817
21/04/2018 09:00,0,0,0,17.59816016
21/04/2018 10:00,0,0,0,17.76821515
21/04/2018 11:00,0,0,0,17.76821515
21/04/2018 12:00,0,0,,17.93642817
21/04/2018 13:00,0,0,0,17.93642817
21/04/2018 14:00,0,0,0,18.10285541
21/04/2018 15:00,0,0,0,17.59816016
21/04/2018 16:00,0,0,0,18.10285541
21/04/2018 17:00,0,0.9,0,17.76821515
21/04/2018 18:00,0,0,0,17.76821515
21/04/2018 19:00,0,0,0,17.76821515
21/04/2018 20:00,0.1,0,0,17.59816016
21/04/2018 21:00,0,0,0,17.93642817
21/04/2018 22:00,0,0,0,17.76821515
21/04/2018 23:00,0,0,0,17.59816016
22/04/2018 00:00,0,0,0,17.59816016
22/04/2018 01:00,0,0,0,17.93642817
22/04/2018 02:00,0,0,0,18.26755031
22/04/2018 03:00,0,0,0,18.10285541
22/04/2018 04:00,0,0,0,17.59816016
22/04/2018 05:00,0,0,0,17.59816016
22/04/2018 06:00,0,0,0,18.26755031
22/04/2018 07:00,0,0,0,17.93642817
22/04/2018 08:00,0,0,0,18.10285541
22/04/2018 09:00,0,0,0,17.76821515
22/04/2018 10:00,0,0,0,17.76821515
22/04/2018 11:00,0,0,0,17.42620399
22/04/2018 12:00,0,0,,17.76821515
22/04/2018 13:00,0,0,0,17.59816016
22/04/2018 14:00,0,0,0,17.59816016
22/04/2018 15:00,0.5,1.5,0.3,17.42620399
22/04/2018 16:00,0.7,0.1,0.2,17.76821515
22/04/2018 17:00,0.1,0,0,17.59816016
22/04/2018 18:00,2.4,0.5,0,18.10285541
22/04/2018 19:00,2.6,0.4,0.8,17.93642817
22/04/2018 20:00,1,0.6,0.4,17.93642817
