ID,Empresa,VADT,CxK,Clientes,Km_red
1,Empresa_01,5.212,620.6,139133,201.0
2,Empresa_02,3.302,2233.3,114999,373.6
3,Empresa_03,5.694,2421.5,126648,769.5
4,Empresa_04,4.775,3100.9,142400,218.2
5,Empresa_05,1.337,1143.8,9796,61.9
6,Empresa_06,6.361,1279.9,35379,260.4
7,Empresa_07,5.138,1582.1,61747,271.3
8,Empresa_08,5.281,727.9,29075,599.1
9,Empresa_09,1.53,546.3,110183,505.8
10,Empresa_10,3.367,1600.9,167266,707.7
11,Empresa_11,2.914,842.1,163780,601.2
12,Empresa_12,6.083,2192.9,118038,371.7
13,Empresa_13,4.47,1483.3,213842,734.5
14,Empresa_14,5.49,2689.7,141526,158.6
15,Empresa_15,3.327,2285.8,20259,30.2
16,Empresa_16,2.095,1102.7,191367,90.1
17,Empresa_17,3.961,2688.4,143862,652.9
18,Empresa_18,1.164,2604.5,158862,421.1
19,Empresa_19,5.517,1331.8,141560,153.5
20,Empresa_20,4.4,1029.4,138618,455.9
21,Empresa_21,5.121,2231.6,23096,145.6
22,Empresa_22,2.821,576.2,140022,629.7
23,Empresa_23,6.333,759.7,198830,407.1
24,Empresa_24,5.891,172.5,76335,349.1
25,Empresa_25,5.237,2550.1,150908,278.3
26,Empresa_26,1.909,2177.8,8189,571.0
27,Empresa_27,3.46,2300.8,87201,332.0
28,Empresa_28,1.05,2531.2,109460,88.0
