DIASEM,kWD,kVarD,kWR,kVarR,kV_l
Monday,46.67,14.82,4.08,0.47,13.672
Monday,48.29,15.27,4.9,1.47,13.317
Monday,41.01,14.66,3.81,0.68,13.308
Monday,33.63,10.28,1.52,0.7,13.066
Monday,37.79,10.71,5.01,0.17,13.104
Monday,31.97,9.95,1.15,0.53,13.04
Monday,43.4,12.68,2.68,1.39,13.12
Monday,57.62,16.51,3.42,0.03,13.036
Monday,39.13,12.73,4.32,0.96,13.101
Monday,39.1,13.93,3.62,1.43,13.169
Monday,52.58,17.16,3.58,0.77,13.05
Monday,53.2,17.65,1.86,1.14,12.987
Monday,52.89,16.18,1.07,0.33,12.996
Monday,44.57,14.52,3.09,1.79,13.268
Monday,57.14,19.44,1.93,1.66,13.209
Monday,68.14,22.29,1.04,1.14,13.354
Monday,50.05,17.23,1.1,0.0,13.357
Monday,63.33,20.52,2.26,0.37,13.149
Monday,52.1,15.41,0.22,1.59,13.301
Monday,62.94,20.56,0.98,2.03,12.984
Monday,61.64,19.68,0.55,1.18,13.542
Monday,83.47,24.48,3.27,1.75,13.379
Monday,77.44,25.52,3.61,0.64,13.168
Monday,98.89,34.15,6.01,0.89,13.026
Monday,102.9,29.92,0.75,1.0,13.257
Monday,104.59,33.84,1.98,1.25,12.919
Monday,85.27,28.88,4.37,0.08,13.083
Monday,111.79,34.91,2.67,1.56,13.312
Monday,122.54,36.96,2.51,1.79,13.211
Monday,129.82,40.22,5.56,0.31,13.126
Monday,117.91,38.12,2.49,0.19,13.343
Monday,134.62,45.09,1.27,1.21,13.044
Monday,134.78,43.77,1.02,0.61,13.243
Monday,141.98,40.97,3.5,0.0,13.125
Monday,167.15,57.74,3.46,1.49,13.073
Monday,152.48,53.96,0.94,1.09,13.27
Monday,165.75,47.75,1.52,0.71,13.051
Monday,180.36,54.1,3.8,2.27,13.485
Monday,169.45,49.8,3.87,1.08,13.112
Monday,178.94,62.26,2.04,0.55,13.498
Monday,185.55,65.47,3.93,1.06,13.036
Monday,189.07,53.61,3.86,0.38,13.291
Monday,179.12,54.92,0.33,0.54,13.02
Monday,196.42,58.02,2.53,1.23,12.999
Monday,213.23,67.71,3.62,0.67,13.224
Monday,185.23,65.52,2.14,0.73,13.302
Monday,213.36,60.94,0.0,2.0,13.009
Monday,207.72,61.01,2.58,1.52,13.378
Monday,201.53,64.28,4.13,1.48,13.08
Monday,231.15,74.41,5.37,1.32,13.22
Monday,219.18,74.44,0.0,1.29,13.257
Monday,199.17,62.74,6.92,1.87,13.289
Monday,213.18,62.1,1.31,0.99,12.93
Monday,218.63,67.4,4.44,2.11,13.443
Monday,210.24,75.39,4.85,0.43,13.284
Monday,218.88,74.43,4.47,0.85,13.136
Monday,209.94,60.74,3.22,0.17,13.046
Monday,216.4,74.58,1.26,0.79,12.946
Monday,222.91,67.96,3.94,1.31,12.996
