data_Tcamp,data_productividad_per,data_import_unico,data_dias_empresa,data_Tedad,data_T_RangoEdad,data_numero_hijos,data_T_numero_hijos,data_pobreza,data_veces,data_Tsexo,dummies_Tsexo_Mujer,data_GRADO2,data_Testado_civil,data_distancia,data_sumCOD,data_sumHRSLB,data_n_lote,data_n_fundo,data_n_variedad,data_otros_bono,data_sum_hora_extra,data_sum_aux_bono_total,data_bono_produc,data_BANCARIZADO,data_PEOR_CALIF_U6M,data_MODA_CALIF_U6M,data_TIPCRE_UM,data_DEUDA_PROM_U6M,data_NRO_ENT_PROM_U6M,data_DIAS_ATRASO_PROM_U6M
19,76.57,1245.34,236,32,31-40,1,Con hijos,0.523,4,Hombre,0,Secundaria incompleta,Soltero,120.3,3053.0,58.1,9,1,2,535.1,205.1,852.3,145.8,1,Deficiente,CPP,Ninguno,2251.2,2,5.8
21,19.49,462.18,114,37,31-40,1,Con hijos,0.263,2,Hombre,0,Primaria completa,Soltero,177.4,502.0,126.6,8,2,2,34.3,90.4,225.5,62.0,0,CPP,Normal,Consumo,0.0,0,0.0
19,41.24,579.53,146,27,26-30,2,Con hijos,0.451,3,Hombre,0,Secundaria incompleta,Soltero,138.5,989.0,152.9,7,1,1,237.5,30.2,344.2,141.2,1,Perdida,Normal,Consumo,1532.6,3,44.2
21,30.15,178.15,133,23,18-25,0,Sin hijos,0.445,1,Mujer,1,Secundaria completa,Soltero,145.3,1193.0,128.2,10,3,1,388.4,205.4,689.5,58.0,1,Deficiente,Normal,Consumo,2667.1,3,2.0
21,69.16,2225.86,190,27,26-30,0,Sin hijos,0.304,3,Mujer,1,Secundaria incompleta,Soltero,48.6,2607.0,199.0,8,3,2,39.8,162.7,263.2,114.5,1,Normal,CPP,Consumo,868.5,1,9.7
21,92.74,2245.44,204,34,31-40,1,Con hijos,0.452,1,Hombre,0,Superior,Soltero,34.5,2278.0,218.0,24,3,2,280.3,48.7,373.1,228.8,1,Normal,Deficiente,Comercial,1376.0,1,15.9
20,140.39,4962.94,199,23,18-25,0,Sin hijos,0.466,3,Mujer,1,Secundaria incompleta,Casado,28.3,3216.0,52.0,17,2,2,183.3,53.6,248.1,432.8,0,Normal,Normal,Ninguno,0.0,0,0.0
21,17.92,223.98,104,23,18-25,0,Sin hijos,0.356,3,Hombre,0,Secundaria incompleta,Soltero,197.6,734.0,54.7,12,3,2,167.0,107.6,288.7,54.5,0,Perdida,Normal,Consumo,0.0,0,0.0
19,16.43,304.21,90,24,18-25,1,Con hijos,0.581,2,Hombre,0,Secundaria completa,Soltero,127.2,648.0,54.8,14,2,3,26.8,566.3,726.8,47.6,1,Dudoso,Normal,Ninguno,2752.0,1,33.1
21,38.06,0.0,98,22,18-25,0,Sin hijos,0.137,3,Hombre,0,Primaria incompleta,Soltero,117.1,1073.0,159.4,12,2,2,156.4,54.7,328.5,119.6,0,Normal,Normal,Ninguno,0.0,0,0.0
