comment_id,video_seed_id,fecha,categoria_real,comentario,likes
c000042,seed_dep_5,2024-10-07,Deportes,"este canal explico arbitro mejor que cualquier noticiero, mencionaron lesion",1
c000040,seed_dep_4,2024-10-07,Deportes,"este canal explico arbitro mejor que cualquier noticiero, mencionaron equipo",2
c000015,seed_eco_1,2024-10-07,Economia,"este canal explico inflacion mejor que cualquier noticiero, mencionaron ahorro",2
c000026,seed_ent_1,2024-10-07,Entretenimiento,"este canal explico banda mejor que cualquier noticiero, mencionaron streaming",1
c000006,seed_eco_4,2024-10-07,Economia,"todos hablando de precios y de salario, menos los medios tradicionales",4
c000021,seed_ent_4,2024-10-07,Entretenimiento,"director otra vez en tendencias, la estreno va para largo",2
c000051,seed_cli_2,2024-10-07,Clima y Energia,porque nadie habla de incendio y lluvia en las noticias grandes,2
c000035,seed_dep_4,2024-10-07,Deportes,"no puedo creer lo que paso con seleccion y estadio, alguien mas lo vio",2
c000036,seed_dep_2,2024-10-08,Deportes,"mi familia esta afectada por portero, tambien por lesion, gracias por cubrir el tema",4
c000008,seed_eco_1,2024-10-08,Economia,"todos hablando de mercado y de peso, menos los medios tradicionales",0
c000037,seed_dep_5,2024-10-08,Deportes,"mi familia esta afectada por lesion, tambien por gol, gracias por cubrir el tema",4
c000020,seed_ent_4,2024-10-08,Entretenimiento,"actriz otra vez en tendencias, la streaming va para largo",1
c000011,seed_eco_4,2024-10-08,Economia,porque nadie habla de deuda y impuestos en las noticias grandes,4
c000038,seed_dep_3,2024-10-08,Deportes,"primera vez que escucho de arbitro, alguien me explica que paso con equipo",3
c000044,seed_dep_1,2024-10-08,Deportes,"no puedo creer lo que paso con estadio y portero, alguien mas lo vio",1
c000023,seed_ent_4,2024-10-08,Entretenimiento,"este canal explico banda mejor que cualquier noticiero, mencionaron cancion",2
c000034,seed_dep_2,2024-10-08,Deportes,"todos hablando de lesion y de transferencia, menos los medios tradicionales",1
c000019,seed_ent_2,2024-10-08,Entretenimiento,"todos hablando de guion y de concierto, menos los medios tradicionales",2
c000027,seed_ent_4,2024-10-08,Entretenimiento,"este canal explico concierto mejor que cualquier noticiero, mencionaron actriz",5
c000046,seed_cli_2,2024-10-08,Clima y Energia,"renovables otra vez en tendencias, la apagon va para largo",5
c000029,seed_ent_3,2024-10-09,Entretenimiento,"llevo dias viendo videos sobre estreno, la actor cada vez es peor",1
c000022,seed_ent_1,2024-10-09,Entretenimiento,"todos hablando de premio y de guion, menos los medios tradicionales",4
c000000,seed_eco_4,2024-10-09,Economia,"no puedo creer lo que paso con dolar y impuestos, alguien mas lo vio",2
c000014,seed_eco_5,2024-10-09,Economia,"primera vez que escucho de sueldo, alguien me explica que paso con mercado",2
c000012,seed_eco_2,2024-10-09,Economia,yo creo que ahorro y salario se van a poner peor el proximo mes,6
